station_name,latitude,longitude,sensor_id,station_id,pollutant,pollutant_symbol,pollutant_code,pollutant_id
"Gdynia, ul. Porębskiego",54.560836,18.493331,4714,732,ozon,O3,O3,5
"Gdynia, ul. Porębskiego",54.560836,18.493331,4715,732,pył zawieszony PM10,PM10,PM10,3
"Gdynia, ul. Porębskiego",54.560836,18.493331,4717,732,dwutlenek siarki,SO2,SO2,1
"Gdynia, ul. Porębskiego",54.560836,18.493331,27567,732,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Gdańsk, ul. Leczkowa",54.380279,18.620274,4755,736,tlenek węgla,CO,CO,8
"Gdańsk, ul. Leczkowa",54.380279,18.620274,4758,736,dwutlenek azotu,NO2,NO2,6
"Gdańsk, ul. Leczkowa",54.380279,18.620274,4760,736,ozon,O3,O3,5
"Gdańsk, ul. Leczkowa",54.380279,18.620274,4761,736,pył zawieszony PM10,PM10,PM10,3
"Gdańsk, ul. Leczkowa",54.380279,18.620274,4762,736,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Gdańsk, ul. Leczkowa",54.380279,18.620274,4764,736,dwutlenek siarki,SO2,SO2,1
"Gdańsk, ul. Leczkowa",54.380279,18.620274,28378,736,benzen,C6H6,C6H6,10
"Sopot, ul. Bitwy Pod Płowcami",54.434510,18.578840,26212,16242,dwutlenek azotu,NO2,NO2,6
"Sopot, ul. Bitwy Pod Płowcami",54.434510,18.578840,26219,16242,pył zawieszony PM10,PM10,PM10,3
"Sopot, ul. Bitwy Pod Płowcami",54.434510,18.578840,26221,16242,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Słupsk, ul. Kniaziewicza",54.463611,17.046722,4629,725,benzen,C6H6,C6H6,10
"Słupsk, ul. Kniaziewicza",54.463611,17.046722,16071,725,pył zawieszony PM10,PM10,PM10,3
"Kościerzyna, ul. Targowa",54.120694,17.975861,4817,740,pył zawieszony PM10,PM10,PM10,3
"Kościerzyna, ul. Targowa",54.120694,17.975861,4819,740,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Kościerzyna, ul. Targowa",54.120694,17.975861,16057,740,benzen,C6H6,C6H6,10
"Malbork, ul. Mickiewicza",54.031247,19.032899,4834,741,tlenek węgla,CO,CO,8
"Malbork, ul. Mickiewicza",54.031247,19.032899,4840,741,dwutlenek azotu,NO2,NO2,6
"Malbork, ul. Mickiewicza",54.031247,19.032899,4842,741,ozon,O3,O3,5
"Malbork, ul. Mickiewicza",54.031247,19.032899,4845,741,pył zawieszony PM10,PM10,PM10,3
"Malbork, ul. Mickiewicza",54.031247,19.032899,4848,741,dwutlenek siarki,SO2,SO2,1
"Lębork, ul. Malczewskiego",54.546167,17.746194,4866,742,dwutlenek azotu,NO2,NO2,6
"Lębork, ul. Malczewskiego",54.546167,17.746194,4868,742,ozon,O3,O3,5
"Lębork, ul. Malczewskiego",54.546167,17.746194,16070,742,pył zawieszony PM10,PM10,PM10,3
"Lębork, ul. Malczewskiego",54.546167,17.746194,25925,742,pył zawieszony PM2.5,PM2.5,PM2.5,69
Liniewko Kościerskie,54.104111,18.182972,4891,743,dwutlenek azotu,NO2,NO2,6
Liniewko Kościerskie,54.104111,18.182972,4893,743,ozon,O3,O3,5
Liniewko Kościerskie,54.104111,18.182972,4898,743,dwutlenek siarki,SO2,SO2,1
"Łeba, IMGW",54.754139,17.534528,4959,750,ozon,O3,O3,5
"Skawina, os. Ogrody",49.971047,19.830422,3020,437,dwutlenek azotu,NO2,NO2,6
"Skawina, os. Ogrody",49.971047,19.830422,3023,437,pył zawieszony PM10,PM10,PM10,3
"Skawina, os. Ogrody",49.971047,19.830422,3026,437,dwutlenek siarki,SO2,SO2,1
"Skawina, os. Ogrody",49.971047,19.830422,27908,437,benzen,C6H6,C6H6,10
Szymbark,49.633714,21.116833,3055,443,dwutlenek azotu,NO2,NO2,6
Szymbark,49.633714,21.116833,3057,443,ozon,O3,O3,5
Szymbark,49.633714,21.116833,3058,443,dwutlenek siarki,SO2,SO2,1
Szymbark,49.633714,21.116833,21453,443,pył zawieszony PM10,PM10,PM10,3
"Trzebinia, os. Związku Walki Młodych",50.159406,19.477464,3116,449,tlenek węgla,CO,CO,8
"Trzebinia, os. Związku Walki Młodych",50.159406,19.477464,3120,449,dwutlenek azotu,NO2,NO2,6
"Trzebinia, os. Związku Walki Młodych",50.159406,19.477464,3123,449,pył zawieszony PM10,PM10,PM10,3
"Trzebinia, os. Związku Walki Młodych",50.159406,19.477464,3127,449,dwutlenek siarki,SO2,SO2,1
"Trzebinia, os. Związku Walki Młodych",50.159406,19.477464,15246,449,ozon,O3,O3,5
"Niepołomice, ul. 3 Maja",50.035117,20.212689,27326,455,pył zawieszony PM10,PM10,PM10,3
"Zakopane, ul. Sienkiewicza",49.293564,19.960083,3191,459,dwutlenek azotu,NO2,NO2,6
"Zakopane, ul. Sienkiewicza",49.293564,19.960083,3193,459,ozon,O3,O3,5
"Zakopane, ul. Sienkiewicza",49.293564,19.960083,3195,459,pył zawieszony PM10,PM10,PM10,3
"Szarów, ul. Spokojna",50.007500,20.259167,14804,9179,dwutlenek azotu,NO2,NO2,6
"Szarów, ul. Spokojna",50.007500,20.259167,14826,9179,ozon,O3,O3,5
Kaszów,50.025028,19.726833,16486,10119,dwutlenek azotu,NO2,NO2,6
Kaszów,50.025028,19.726833,16488,10119,ozon,O3,O3,5
"Sucha Beskidzka, ul. Nieszczyńskiej",49.743131,19.600339,16498,10124,pył zawieszony PM10,PM10,PM10,3
"Oświęcim, ul. J. Bema",50.033083,19.245275,21203,10814,benzen,C6H6,C6H6,10
"Oświęcim, ul. J. Bema",50.033083,19.245275,21249,10814,pył zawieszony PM10,PM10,PM10,3
"Olkusz, ul. Cegielniana",50.284000,19.564044,21183,11301,pył zawieszony PM10,PM10,PM10,3
"Zabierzów, ul. Wapienna",50.116028,19.800639,21571,11434,pył zawieszony PM10,PM10,PM10,3
"Wadowice, ul. Bałysa",49.872364,19.497467,26981,16473,pył zawieszony PM10,PM10,PM10,3
Myślenice,49.831237,19.923591,27646,16753,pył zawieszony PM10,PM10,PM10,3
"Nowy Targ, al. Tysiąclecia ",49.476675,20.034878,27834,16894,dwutlenek siarki,SO2,SO2,1
"Nowy Targ, al. Tysiąclecia ",49.476675,20.034878,27835,16894,pył zawieszony PM10,PM10,PM10,3
"Muszyna, Lodowisko",49.350039,20.873839,28432,17138,pył zawieszony PM10,PM10,PM10,3
"Warszawa, al. Niepodległości",52.219298,21.004724,3575,530,benzen,C6H6,C6H6,10
"Warszawa, al. Niepodległości",52.219298,21.004724,3576,530,tlenek węgla,CO,CO,8
"Warszawa, al. Niepodległości",52.219298,21.004724,3580,530,dwutlenek azotu,NO2,NO2,6
"Warszawa, al. Niepodległości",52.219298,21.004724,3584,530,pył zawieszony PM10,PM10,PM10,3
"Warszawa, al. Niepodległości",52.219298,21.004724,3585,530,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Warszawa, ul. Tołstoja",52.285073,20.933018,3654,538,pył zawieszony PM10,PM10,PM10,3
"Warszawa, ul. Tołstoja",52.285073,20.933018,18038,538,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Warszawa, ul. Wokalna",52.160772,21.033819,3725,550,dwutlenek azotu,NO2,NO2,6
"Warszawa, ul. Wokalna",52.160772,21.033819,3727,550,ozon,O3,O3,5
"Warszawa, ul. Wokalna",52.160772,21.033819,3730,550,pył zawieszony PM10,PM10,PM10,3
"Warszawa, ul. Wokalna",52.160772,21.033819,3731,550,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Warszawa, ul. Kondratowicza",52.290864,21.042458,3760,552,dwutlenek azotu,NO2,NO2,6
"Warszawa, ul. Kondratowicza",52.290864,21.042458,3762,552,ozon,O3,O3,5
"Warszawa, ul. Chrościckiego",52.207742,20.906073,18200,10955,pył zawieszony PM10,PM10,PM10,3
"Warszawa, ul. Chrościckiego",52.207742,20.906073,18201,10955,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Warszawa, ul. Chrościckiego",52.207742,20.906073,20408,10955,dwutlenek azotu,NO2,NO2,6
"Warszawa, ul. Chrościckiego",52.207742,20.906073,20410,10955,ozon,O3,O3,5
"Warszawa, ul. Chrościckiego",52.207742,20.906073,20411,10955,dwutlenek siarki,SO2,SO2,1
"Warszawa, ul. Bajkowa",52.188474,21.176233,18198,10956,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Warszawa, ul. Bajkowa",52.188474,21.176233,18199,10956,pył zawieszony PM10,PM10,PM10,3
"Warszawa, IMiGW",52.281304,20.963383,27047,16533,ozon,O3,O3,5
"Płock, ul. Królowej Jadwigi",52.556279,19.687672,3407,497,benzen,C6H6,C6H6,10
"Płock, ul. Królowej Jadwigi",52.556279,19.687672,3418,497,dwutlenek siarki,SO2,SO2,1
"Płock, ul. Reja",52.550938,19.709791,3419,501,benzen,C6H6,C6H6,10
"Płock, ul. Reja",52.550938,19.709791,3420,501,tlenek węgla,CO,CO,8
"Płock, ul. Reja",52.550938,19.709791,3425,501,dwutlenek azotu,NO2,NO2,6
"Płock, ul. Reja",52.550938,19.709791,3429,501,pył zawieszony PM10,PM10,PM10,3
"Płock, ul. Reja",52.550938,19.709791,3434,501,dwutlenek siarki,SO2,SO2,1
"Płock, ul. Reja",52.550938,19.709791,16765,501,ozon,O3,O3,5
"Płock, ul. Reja",52.550938,19.709791,14376,501,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Radom, ul. Tochtermana",51.399084,21.147474,3486,515,benzen,C6H6,C6H6,10
"Radom, ul. Tochtermana",51.399084,21.147474,3487,515,tlenek węgla,CO,CO,8
"Radom, ul. Tochtermana",51.399084,21.147474,3492,515,dwutlenek azotu,NO2,NO2,6
"Radom, ul. Tochtermana",51.399084,21.147474,3494,515,ozon,O3,O3,5
"Radom, ul. Tochtermana",51.399084,21.147474,3497,515,pył zawieszony PM10,PM10,PM10,3
"Radom, ul. Tochtermana",51.399084,21.147474,3502,515,dwutlenek siarki,SO2,SO2,1
"Radom, ul. Tochtermana",51.399084,21.147474,14377,515,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Belsk Duży, IGF PAN",51.835242,20.791912,3199,460,tlenek węgla,CO,CO,8
"Belsk Duży, IGF PAN",51.835242,20.791912,3201,460,dwutlenek azotu,NO2,NO2,6
"Belsk Duży, IGF PAN",51.835242,20.791912,3203,460,ozon,O3,O3,5
"Belsk Duży, IGF PAN",51.835242,20.791912,3204,460,pył zawieszony PM10,PM10,PM10,3
"Belsk Duży, IGF PAN",51.835242,20.791912,3205,460,dwutlenek siarki,SO2,SO2,1
"Legionowo, ul. Zegrzyńska",52.407578,20.955928,3257,471,dwutlenek azotu,NO2,NO2,6
"Legionowo, ul. Zegrzyńska",52.407578,20.955928,3259,471,ozon,O3,O3,5
"Legionowo, ul. Zegrzyńska",52.407578,20.955928,20461,471,pył zawieszony PM10,PM10,PM10,3
"Legionowo, ul. Zegrzyńska",52.407578,20.955928,14378,471,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Otwock, ul. Brzozowa",52.115725,21.237297,17225,485,pył zawieszony PM10,PM10,PM10,3
"Otwock, ul. Brzozowa",52.115725,21.237297,16044,485,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Otwock, ul. Brzozowa",52.115725,21.237297,16045,485,benzen,C6H6,C6H6,10
"Otwock, ul. Brzozowa",52.115725,21.237297,16046,485,tlenek węgla,CO,CO,8
"Otwock, ul. Brzozowa",52.115725,21.237297,16048,485,dwutlenek azotu,NO2,NO2,6
"Otwock, ul. Brzozowa",52.115725,21.237297,16050,485,ozon,O3,O3,5
"Otwock, ul. Brzozowa",52.115725,21.237297,16051,485,dwutlenek siarki,SO2,SO2,1
"Piastów, ul. Pułaskiego",52.191728,20.837489,3339,488,dwutlenek azotu,NO2,NO2,6
"Piastów, ul. Pułaskiego",52.191728,20.837489,20462,488,pył zawieszony PM10,PM10,PM10,3
"Piastów, ul. Pułaskiego",52.191728,20.837489,14779,488,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Piastów, ul. Pułaskiego",52.191728,20.837489,14352,488,ozon,O3,O3,5
"Siedlce, ul. Konarskiego",52.172145,22.282001,3526,517,pył zawieszony PM10,PM10,PM10,3
"Siedlce, ul. Konarskiego",52.172145,22.282001,3528,517,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Nakło nad Notecią, ul. Św. Wawrzyńca",53.136681,17.591539,21167,9798,dwutlenek azotu,NO2,NO2,6
"Nakło nad Notecią, ul. Św. Wawrzyńca",53.136681,17.591539,15820,9798,benzen,C6H6,C6H6,10
"Nakło nad Notecią, ul. Św. Wawrzyńca",53.136681,17.591539,28894,9798,tlenek węgla,CO,CO,8
"Nakło nad Notecią, ul. Św. Wawrzyńca",53.136681,17.591539,28895,9798,dwutlenek siarki,SO2,SO2,1
"Nakło nad Notecią, ul. Św. Wawrzyńca",53.136681,17.591539,25983,9798,pył zawieszony PM10,PM10,PM10,3
"Nakło nad Notecią, ul. Św. Wawrzyńca",53.136681,17.591539,25984,9798,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Świecie, al. Jana Pawła II",53.407580,18.428751,21504,12038,dwutlenek azotu,NO2,NO2,6
"Świecie, al. Jana Pawła II",53.407580,18.428751,21505,12038,benzen,C6H6,C6H6,10
"Świecie, al. Jana Pawła II",53.407580,18.428751,21509,12038,pył zawieszony PM10,PM10,PM10,3
"Świecie, al. Jana Pawła II",53.407580,18.428751,21510,12038,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Lublin, ul. Obywatelska",51.259431,22.569133,1888,266,tlenek węgla,CO,CO,8
"Lublin, ul. Obywatelska",51.259431,22.569133,1895,266,dwutlenek azotu,NO2,NO2,6
"Lublin, ul. Obywatelska",51.259431,22.569133,1897,266,ozon,O3,O3,5
"Lublin, ul. Obywatelska",51.259431,22.569133,1900,266,pył zawieszony PM10,PM10,PM10,3
"Lublin, ul. Obywatelska",51.259431,22.569133,1902,266,dwutlenek siarki,SO2,SO2,1
"Lublin, ul. Obywatelska",51.259431,22.569133,1885,266,benzen,C6H6,C6H6,10
"Lublin, ul. Obywatelska",51.259431,22.569133,16472,266,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Biała Podlaska, ul. Orzechowa",52.029194,23.149389,1676,236,ozon,O3,O3,5
"Biała Podlaska, ul. Orzechowa",52.029194,23.149389,20419,236,pył zawieszony PM10,PM10,PM10,3
"Biała Podlaska, ul. Orzechowa",52.029194,23.149389,15727,236,dwutlenek azotu,NO2,NO2,6
"Biała Podlaska, ul. Orzechowa",52.029194,23.149389,18009,236,benzen,C6H6,C6H6,10
"Biała Podlaska, ul. Orzechowa",52.029194,23.149389,14348,236,dwutlenek siarki,SO2,SO2,1
"Jarczew, IMGW",51.814367,21.972375,1741,248,ozon,O3,O3,5
"Radzyń Podlaski, ul. Sitkowskiego",51.78,22.625944,27126,275,pył zawieszony PM10,PM10,PM10,3
"Zamość, ul. Hrubieszowska",50.716628,23.290247,2001,285,dwutlenek azotu,NO2,NO2,6
"Zamość, ul. Hrubieszowska",50.716628,23.290247,2008,285,dwutlenek siarki,SO2,SO2,1
"Zamość, ul. Hrubieszowska",50.716628,23.290247,14367,285,benzen,C6H6,C6H6,10
"Zamość, ul. Hrubieszowska",50.716628,23.290247,16744,285,pył zawieszony PM10,PM10,PM10,3
"Zamość, ul. Hrubieszowska",50.716628,23.290247,26316,285,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Zamość, ul. Hrubieszowska",50.716628,23.290247,28592,285,tlenek węgla,CO,CO,8
"Florianka, RPN",50.551894,22.982861,18039,10874,dwutlenek azotu,NO2,NO2,6
"Florianka, RPN",50.551894,22.982861,18041,10874,dwutlenek siarki,SO2,SO2,1
"Florianka, RPN",50.551894,22.982861,18042,10874,ozon,O3,O3,5
"Chełm, ul. Połaniecka",51.122147,23.473075,20426,11360,pył zawieszony PM10,PM10,PM10,3
"Łuków, Bulwar 100-lecia Odzyskania Niepodległości ",51.930734,22.372502,21787,12100,pył zawieszony PM10,PM10,PM10,3
"Łuków, Bulwar 100-lecia Odzyskania Niepodległości ",51.930734,22.372502,21791,12100,pył zawieszony PM2.5,PM2.5,PM2.5,69
Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738214,15.228667,2410,361,benzen,C6H6,C6H6,10
Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738214,15.228667,2411,361,tlenek węgla,CO,CO,8
Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738214,15.228667,2416,361,dwutlenek azotu,NO2,NO2,6
Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738214,15.228667,2418,361,ozon,O3,O3,5
Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738214,15.228667,2421,361,pył zawieszony PM10,PM10,PM10,3
Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738214,15.228667,2425,361,dwutlenek siarki,SO2,SO2,1
Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738214,15.228667,26165,361,pył zawieszony PM2.5,PM2.5,PM2.5,69
Zielona Góra ul. Krótka,51.939783,15.518861,2647,387,benzen,C6H6,C6H6,10
Zielona Góra ul. Krótka,51.939783,15.518861,2649,387,tlenek węgla,CO,CO,8
Zielona Góra ul. Krótka,51.939783,15.518861,2657,387,dwutlenek azotu,NO2,NO2,6
Zielona Góra ul. Krótka,51.939783,15.518861,2659,387,ozon,O3,O3,5
Zielona Góra ul. Krótka,51.939783,15.518861,2664,387,pył zawieszony PM2.5,PM2.5,PM2.5,69
Zielona Góra ul. Krótka,51.939783,15.518861,2668,387,dwutlenek siarki,SO2,SO2,1
Zielona Góra ul. Krótka,51.939783,15.518861,14428,387,pył zawieszony PM10,PM10,PM10,3
Smolary Bytnickie,52.172222,15.206667,2504,374,dwutlenek azotu,NO2,NO2,6
Smolary Bytnickie,52.172222,15.206667,2506,374,ozon,O3,O3,5
Smolary Bytnickie,52.172222,15.206667,2510,374,dwutlenek siarki,SO2,SO2,1
Wschowa ul. Kazimierza Wielkiego,51.799722,16.317500,2554,379,tlenek węgla,CO,CO,8
Wschowa ul. Kazimierza Wielkiego,51.799722,16.317500,2559,379,dwutlenek azotu,NO2,NO2,6
Wschowa ul. Kazimierza Wielkiego,51.799722,16.317500,2563,379,pył zawieszony PM10,PM10,PM10,3
Wschowa ul. Kazimierza Wielkiego,51.799722,16.317500,2566,379,dwutlenek siarki,SO2,SO2,1
Wschowa ul. Kazimierza Wielkiego,51.799722,16.317500,19721,379,pył zawieszony PM2.5,PM2.5,PM2.5,69
Wschowa ul. Kazimierza Wielkiego,51.799722,16.317500,14633,379,ozon,O3,O3,5
Wschowa ul. Kazimierza Wielkiego,51.799722,16.317500,21803,379,benzen,C6H6,C6H6,10
"Żary, ul. Szymanowskiego ",51.642656,15.127808,2589,382,tlenek węgla,CO,CO,8
"Żary, ul. Szymanowskiego ",51.642656,15.127808,2594,382,dwutlenek azotu,NO2,NO2,6
"Żary, ul. Szymanowskiego ",51.642656,15.127808,2596,382,ozon,O3,O3,5
"Żary, ul. Szymanowskiego ",51.642656,15.127808,2601,382,dwutlenek siarki,SO2,SO2,1
"Żary, ul. Szymanowskiego ",51.642656,15.127808,14619,382,benzen,C6H6,C6H6,10
"Żary, ul. Szymanowskiego ",51.642656,15.127808,14618,382,pył zawieszony PM10,PM10,PM10,3
"Żary, ul. Szymanowskiego ",51.642656,15.127808,20221,382,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Toruń, ul. Wały gen. Sikorskiego",53.012475,18.605681,850,145,dwutlenek azotu,NO2,NO2,6
"Toruń, ul. Wały gen. Sikorskiego",53.012475,18.605681,853,145,pył zawieszony PM10,PM10,PM10,3
"Toruń, ul. Dziewulskiego",53.028647,18.666103,1401,206,dwutlenek azotu,NO2,NO2,6
"Toruń, ul. Dziewulskiego",53.028647,18.666103,1403,206,ozon,O3,O3,5
"Toruń, ul. Dziewulskiego",53.028647,18.666103,1405,206,pył zawieszony PM10,PM10,PM10,3
"Toruń, ul. Dziewulskiego",53.028647,18.666103,1409,206,dwutlenek siarki,SO2,SO2,1
"Toruń, ul. Przy Kaszowniku",53.017628,18.612808,1414,208,benzen,C6H6,C6H6,10
"Toruń, ul. Przy Kaszowniku",53.017628,18.612808,1416,208,tlenek węgla,CO,CO,8
"Toruń, ul. Przy Kaszowniku",53.017628,18.612808,1421,208,dwutlenek azotu,NO2,NO2,6
"Toruń, ul. Przy Kaszowniku",53.017628,18.612808,1426,208,pył zawieszony PM10,PM10,PM10,3
"Toruń, ul. Przy Kaszowniku",53.017628,18.612808,21163,208,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Włocławek, ul. Okrzei",52.658467,19.059314,1534,225,tlenek węgla,CO,CO,8
"Włocławek, ul. Okrzei",52.658467,19.059314,1539,225,dwutlenek azotu,NO2,NO2,6
"Włocławek, ul. Okrzei",52.658467,19.059314,1544,225,pył zawieszony PM10,PM10,PM10,3
"Włocławek, ul. Okrzei",52.658467,19.059314,19698,225,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Włocławek, ul. Okrzei",52.658467,19.059314,18023,225,benzen,C6H6,C6H6,10
"Włocławek, ul. Kaliska",52.637394,19.044486,15988,9791,ozon,O3,O3,5
"Włocławek, ul. Kaliska",52.637394,19.044486,20302,9791,pył zawieszony PM10,PM10,PM10,3
"Włocławek, ul. Kaliska",52.637394,19.044486,15982,9791,dwutlenek azotu,NO2,NO2,6
"Włocławek, ul. Kaliska",52.637394,19.044486,21264,9791,dwutlenek siarki,SO2,SO2,1
"Grudziądz, ul. Piłsudskiego",53.493550,18.762139,806,142,tlenek węgla,CO,CO,8
"Grudziądz, ul. Piłsudskiego",53.493550,18.762139,809,142,dwutlenek azotu,NO2,NO2,6
"Grudziądz, ul. Piłsudskiego",53.493550,18.762139,812,142,pył zawieszony PM10,PM10,PM10,3
"Inowrocław, ul. Solankowa",52.793122,18.241044,828,143,pył zawieszony PM10,PM10,PM10,3
"Inowrocław, ul. Solankowa",52.793122,18.241044,831,143,dwutlenek siarki,SO2,SO2,1
"Inowrocław, ul. Solankowa",52.793122,18.241044,824,143,dwutlenek azotu,NO2,NO2,6
"Ciechocinek, ul. Tężniowa",52.888422,18.780908,1061,164,dwutlenek azotu,NO2,NO2,6
"Ciechocinek, ul. Tężniowa",52.888422,18.780908,1063,164,ozon,O3,O3,5
"Koniczynka, Pojezierze Chełmińskie",53.080647,18.684258,1283,190,dwutlenek azotu,NO2,NO2,6
"Koniczynka, Pojezierze Chełmińskie",53.080647,18.684258,1285,190,ozon,O3,O3,5
"Zielonka, Bory Tucholskie",53.662117,17.934017,1600,232,benzen,C6H6,C6H6,10
"Zielonka, Bory Tucholskie",53.662117,17.934017,1607,232,tlenek węgla,CO,CO,8
"Zielonka, Bory Tucholskie",53.662117,17.934017,1635,232,dwutlenek azotu,NO2,NO2,6
"Zielonka, Bory Tucholskie",53.662117,17.934017,1640,232,ozon,O3,O3,5
"Zielonka, Bory Tucholskie",53.662117,17.934017,1650,232,dwutlenek siarki,SO2,SO2,1
"Koszalin, ul. Armii Krajowej",54.193986,16.172544,6236,966,dwutlenek azotu,NO2,NO2,6
"Koszalin, ul. Armii Krajowej",54.193986,16.172544,6238,966,pył zawieszony PM10,PM10,PM10,3
"Koszalin, ul. Chopina",54.194114,16.211672,20380,11336,ozon,O3,O3,5
"Koszalin, ul. Chopina",54.194114,16.211672,26305,11336,dwutlenek siarki,SO2,SO2,1
"Koszalin, ul. Chopina",54.194114,16.211672,20565,11336,dwutlenek azotu,NO2,NO2,6
Widuchowa,53.122325,14.382245,6212,961,dwutlenek azotu,NO2,NO2,6
Widuchowa,53.122325,14.382245,6214,961,ozon,O3,O3,5
Widuchowa,53.122325,14.382245,6218,961,dwutlenek siarki,SO2,SO2,1
"Szczecinek, ul. Przemysłowa",53.698902,16.704556,6320,983,dwutlenek azotu,NO2,NO2,6
"Szczecinek, ul. Przemysłowa",53.698902,16.704556,6322,983,pył zawieszony PM10,PM10,PM10,3
"Szczecinek, ul. Przemysłowa",53.698902,16.704556,6324,983,dwutlenek siarki,SO2,SO2,1
"Szczecinek, ul. Przemysłowa",53.698902,16.704556,21352,983,tlenek węgla,CO,CO,8
"Szczecinek, ul. Przemysłowa",53.698902,16.704556,20612,983,benzen,C6H6,C6H6,10
"Świnoujście, ul. J. Matejki ",53.915675,14.246575,27879,16975,dwutlenek azotu,NO2,NO2,6
"Świnoujście, ul. J. Matejki ",53.915675,14.246575,27881,16975,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Świnoujście, ul. J. Matejki ",53.915675,14.246575,27882,16975,pył zawieszony PM10,PM10,PM10,3
